latitude,longitude,rwi,error
29.506549,74.7619629,0.242,0.476
28.526622,76.1682129,0.867,0.543
29.0465652,76.5637207,-0.058,0.537
29.5639011,75.8166504,0.208,0.507
29.4874244,75.7946777,0.198,0.496
28.3140526,76.1901855,0.401,0.518
28.7965458,76.7834473,0.596,0.523
28.3140526,76.4318848,-0.183,0.556
28.9312465,75.8605957,-0.234,0.488
28.7580278,76.541748,0.192,0.493
28.7772886,76.5637207,0.072,0.509
29.52567,74.6740723,0.016,0.492
29.6212207,75.6848145,0.212,0.466
28.4493734,77.310791,1.315,0.49
28.3527333,76.4758301,-0.17,0.537
28.8542961,76.673584,0.774,0.509
28.2753578,76.3439941,-0.028,0.517
29.5447873,75.8166504,-0.399,0.521
28.9504752,75.5310059,-0.259,0.555
29.2576481,76.1242676,0.619,0.533
28.3720684,77.4206543,1.027,0.535
29.3342978,75.7727051,0.548,0.519
29.735762,76.9592285,0.777,0.52
28.9504752,77.0251465,0.297,0.504
29.6212207,74.9816895,0.665,0.478
29.5639011,76.4099121,0.485,0.514
29.1809408,76.1901855,-0.413,0.494
29.6594156,76.3439941,-0.007,0.491
29.6021178,75.8166504,0.037,0.513
27.84879,77.1789551,0.054,0.537
30.6662655,77.0031738,-0.391,0.496
29.4491644,75.4431152,0.504,0.503
29.3151407,76.2561035,0.409,0.528
28.0816733,77.1789551,0.187,0.581
28.8350495,76.7834473,-0.119,0.532
30.5528,76.9372559,1.031,0.536
30.3444351,77.5744629,0.123,0.464
29.200123,76.8054199,0.029,0.511
29.7739134,76.0803223,0.244,0.479
29.1809408,76.6516113,0.011,0.481
29.0081399,76.2561035,0.243,0.513
29.3917473,76.7175293,0.519,0.529
29.2576481,75.8605957,-0.02,0.525
28.7194957,76.2121582,0.375,0.557
28.9697004,76.9812012,0.04,0.509
29.8311133,77.1569824,0.252,0.498
29.1041762,76.2341309,-0.421,0.481
29.2768159,76.4538574,0.515,0.466
28.294707,77.0910645,0.217,0.512
29.9644524,74.8278809,0.195,0.496
28.7194957,76.3659668,0.567,0.568
28.294707,77.376709,0.399,0.513
28.2560052,76.5197754,0.222,0.502
28.8927784,77.0690918,0.744,0.532
28.8157994,76.9592285,0.668,0.508
28.3527333,76.0144043,0.359,0.561
29.9454149,77.1350098,0.717,0.514
29.4874244,75.1574707,0.01,0.497
28.8542961,76.1901855,0.134,0.498
29.6021178,74.8498535,-0.329,0.463
29.4108899,75.7727051,0.249,0.495
28.4880048,75.7946777,0.592,0.522
29.735762,74.6520996,-0.137,0.455
29.4682962,75.201416,-0.015,0.514
28.2560052,76.3879395,-0.019,0.543
29.6594156,75.5310059,0.661,0.504
29.2576481,76.5197754,-0.394,0.518
29.9644524,77.2229004,-0.548,0.472
27.9652945,76.9592285,0.0,0.54
29.9073289,74.9157715,-0.085,0.477
29.4682962,76.8713379,0.747,0.559
29.4108899,76.541748,-0.131,0.479
28.4686909,76.5856934,0.55,0.507
30.0595852,77.1130371,0.407,0.501
29.9834863,77.244873,-0.228,0.474
28.603814,76.607666,0.806,0.508
29.7929837,76.9152832,0.751,0.538
29.8501727,76.5856934,0.683,0.514
29.4874244,76.4978027,0.172,0.499
29.8882805,76.4318848,-0.326,0.512
29.52567,75.9484863,-0.35,0.433
28.2560052,76.2561035,0.376,0.526
29.5447873,77.0910645,0.082,0.543
28.3140526,76.9372559,-0.008,0.518
29.1809408,77.0471191,1.179,0.548
29.3342978,75.2893066,0.28,0.519
29.506549,76.7614746,-0.411,0.481
30.2875311,76.8054199,0.508,0.51
29.4874244,77.0471191,0.757,0.556
29.3534512,75.970459,0.316,0.508
28.8350495,76.9812012,0.749,0.521
28.410728,76.7614746,-0.122,0.52
30.1926178,77.3986816,0.023,0.512
29.8311133,76.2780762,1.09,0.539
29.697596,76.3879395,0.086,0.526
27.8099273,76.1901855,0.289,0.533
29.0849761,76.4758301,-0.116,0.501
29.6403199,75.904541,0.011,0.488
28.6616708,76.6955566,1.164,0.519
29.1233728,76.8054199,0.04,0.507
