latitude,longitude,rwi,error
29.506549,74.7619629,0.242,0.476
28.526622,76.1682129,0.867,0.543
29.9454149,77.310791,0.307,0.528
28.1204382,75.6188965,0.338,0.629
29.7548395,77.2229004,-0.072,0.532
29.0465652,76.5637207,-0.058,0.537
29.9454149,77.2668457,-0.306,0.543
29.5639011,75.8166504,0.208,0.507
30.7418353,76.7614746,0.886,0.466
30.2116078,75.5310059,0.127,0.484
29.4874244,75.7946777,0.198,0.496
28.1785594,74.7619629,0.303,0.552
28.3140526,76.1901855,0.401,0.518
28.3913999,75.6188965,0.248,0.54
30.892797,74.6081543,0.046,0.533
28.7965458,76.7834473,0.596,0.523
28.1591892,75.904541,-0.021,0.524
30.5149486,74.5422363,0.028,0.466
27.9458858,75.6408691,-0.517,0.533
29.9263737,76.0583496,0.077,0.493
28.5459253,75.4431152,0.387,0.522
28.3140526,76.4318848,-0.183,0.556
29.0849761,75.3112793,0.3,0.492
27.6737985,75.7507324,-0.411,0.486
28.6423887,75.201416,-0.453,0.464
29.6021178,74.498291,0.381,0.489
28.7580278,74.7399902,-0.532,0.398
28.2560052,75.1135254,-0.61,0.476
28.9312465,75.8605957,-0.234,0.488
30.3254708,75.5090332,1.149,0.511
30.3633958,74.8498535,-0.373,0.49
28.7580278,76.541748,0.192,0.493
28.8157994,74.7399902,-0.391,0.415
28.7772886,76.5637207,0.072,0.509
28.8157994,77.5085449,0.082,0.521
28.4300525,74.8718262,-0.377,0.497
27.8682161,75.0256348,0.001,0.461
29.52567,74.6740723,0.016,0.492
29.6212207,75.6848145,0.212,0.466
29.9834863,75.970459,0.068,0.484
28.4493734,77.310791,1.315,0.49
28.3527333,76.4758301,-0.17,0.537
28.8542961,76.673584,0.774,0.509
30.4202557,74.6520996,0.052,0.461
30.6284584,74.8278809,0.11,0.48
30.7984737,74.564209,-0.255,0.469
30.5149486,76.9152832,0.618,0.52
30.7229484,76.7834473,1.077,0.467
28.2753578,76.3439941,-0.028,0.517
29.5447873,75.8166504,-0.399,0.521
28.9504752,75.5310059,-0.259,0.555
29.2576481,76.1242676,0.619,0.533
28.3720684,77.4206543,1.027,0.535
29.9454149,74.5202637,-0.247,0.457
30.6473638,75.970459,0.219,0.475
30.2875311,75.7946777,0.572,0.487
30.7795979,76.7175293,0.457,0.495
28.7002242,77.376709,1.11,0.509
28.1204382,75.0915527,-0.106,0.49
29.3342978,75.7727051,0.548,0.519
30.7984737,76.1462402,0.567,0.482
29.735762,76.9592285,0.777,0.52
30.6095493,75.2453613,0.127,0.469
30.7607184,77.5964355,0.008,0.485
28.7965458,77.0471191,1.042,0.542
28.9504752,77.0251465,0.297,0.504
29.9454149,74.9377441,0.73,0.531
29.6403199,74.5861816,0.126,0.487
30.3823528,76.3000488,0.189,0.484
29.6212207,74.9816895,0.665,0.478
30.0025165,75.904541,0.256,0.501
29.5639011,76.4099121,0.485,0.514
29.1809408,76.1901855,-0.413,0.494
30.5528,75.333252,0.503,0.487
30.6284584,77.1789551,0.056,0.524
27.84879,76.4099121,0.238,0.542
28.8157994,75.1794434,-0.509,0.486
27.9458858,76.4978027,-0.078,0.524
27.7516073,75.2233887,0.093,0.494
29.6594156,76.3439941,-0.007,0.491
30.6851635,74.630127,0.143,0.481
29.6021178,75.8166504,0.037,0.513
30.1356258,75.3991699,0.023,0.47
27.84879,77.1789551,0.054,0.537
27.7321603,75.4650879,0.546,0.586
29.4682962,77.3986816,0.343,0.51
30.6662655,77.0031738,-0.391,0.496
29.4491644,75.4431152,0.504,0.503
29.3151407,76.2561035,0.409,0.528
28.0816733,77.1789551,0.187,0.581
28.9889219,75.3991699,0.114,0.521
28.8350495,76.7834473,-0.119,0.532
30.5906366,75.8825684,0.694,0.473
30.040566,75.4431152,1.118,0.479
28.0816733,75.6628418,0.51,0.518
30.5717201,74.8059082,1.017,0.517
30.5528,76.9372559,1.031,0.536
28.1204382,76.9152832,-0.492,0.488
30.3444351,77.5744629,0.123,0.464
29.0465652,74.9816895,-0.559,0.486
