latitude,longitude,rwi,error
22.6849838,75.9484863,0.692,0.531
22.6241518,75.8825684,0.442,0.589
22.7660511,75.904541,1.063,0.523
22.6647094,75.8166504,0.821,0.487
22.7255234,75.9265137,1.059,0.537
22.8065667,75.8166504,-0.103,0.525
22.6647094,75.9484863,0.821,0.516
22.6849838,75.904541,1.07,0.515
22.8065667,75.838623,1.144,0.486
22.7052551,75.9484863,0.33,0.502
22.6444321,75.9484863,0.377,0.507
22.7052551,75.7946777,0.48,0.516
22.8065667,75.9265137,0.933,0.535
22.82682,75.9265137,0.104,0.549
22.7457888,75.8605957,0.972,0.496
22.7052551,75.9265137,0.834,0.481
22.6849838,75.8825684,1.136,0.514
22.7052551,75.8166504,0.869,0.527
22.7863104,75.8166504,0.357,0.506
22.7052551,75.8825684,1.08,0.49
22.7255234,75.9484863,0.787,0.524
22.8065667,75.904541,0.992,0.499
22.6647094,75.8825684,0.93,0.497
22.6444321,75.904541,0.852,0.5
22.6444321,75.7727051,-0.14,0.504
22.7457888,75.7946777,0.894,0.502
22.6241518,75.9265137,0.77,0.54
22.7457888,75.904541,1.203,0.486
22.7052551,75.8605957,1.488,0.479
22.6241518,75.838623,0.073,0.489
22.82682,75.8605957,0.555,0.507
22.7457888,75.7727051,0.705,0.544
22.6241518,75.9484863,0.26,0.543
22.6241518,75.8605957,-0.42,0.55
22.6849838,75.838623,1.222,0.471
22.7660511,75.7946777,0.01,0.535
22.8065667,75.9484863,0.386,0.509
22.7255234,75.7727051,0.861,0.511
22.82682,75.8166504,0.214,0.546
22.6647094,75.904541,0.787,0.52
22.7255234,75.838623,1.304,0.482
22.7863104,75.9484863,0.732,0.515
22.7255234,75.7946777,0.637,0.472
22.7255234,75.8825684,1.436,0.484
22.7863104,75.7946777,0.315,0.536
22.7457888,75.9484863,-0.072,0.53
22.82682,75.9484863,0.68,0.527
22.8065667,75.8605957,0.482,0.537
22.7660511,75.7727051,0.572,0.522
22.6444321,75.8825684,0.781,0.522
22.6647094,75.7727051,-0.218,0.512
22.7863104,75.904541,0.85,0.5
22.7863104,75.8605957,0.886,0.531
22.82682,75.7946777,0.312,0.542
22.7052551,75.838623,1.59,0.48
22.7660511,75.8605957,1.045,0.507
22.7863104,75.8825684,0.553,0.541
22.7660511,75.9265137,0.853,0.523
22.6444321,75.7946777,0.629,0.486
22.8065667,75.7946777,-0.165,0.547
22.82682,75.838623,0.236,0.507
22.6241518,75.904541,0.012,0.517
22.7660511,75.9484863,0.571,0.528
22.6444321,75.8605957,0.753,0.504
22.6849838,75.8605957,1.376,0.498
22.82682,75.8825684,0.184,0.516
22.7457888,75.8166504,1.03,0.503
22.7255234,75.904541,1.177,0.484
22.6241518,75.7727051,0.576,0.533
22.6849838,75.9265137,0.575,0.483
22.7660511,75.838623,1.138,0.514
22.6647094,75.838623,1.127,0.481
22.6444321,75.838623,1.357,0.525
22.7255234,75.8605957,1.839,0.496
22.7863104,75.838623,1.143,0.49
22.6444321,75.8166504,1.348,0.534
22.6849838,75.7727051,0.605,0.509
22.7660511,75.8166504,0.321,0.466
22.7863104,75.9265137,0.703,0.511
22.6849838,75.7946777,-0.207,0.492
22.7052551,75.904541,0.936,0.492
22.8065667,75.7727051,0.022,0.498
22.82682,75.7727051,-0.391,0.514
22.7255234,75.8166504,0.994,0.495
22.82682,75.904541,0.231,0.551
22.6241518,75.7946777,0.921,0.538
22.7052551,75.7727051,0.505,0.504
22.7863104,75.7727051,-0.477,0.491
22.6647094,75.7946777,0.766,0.545
22.6647094,75.8605957,0.57,0.53
22.6241518,75.8166504,0.854,0.52
22.7457888,75.838623,1.183,0.514
22.7457888,75.8825684,1.522,0.487
22.6647094,75.9265137,1.168,0.5
22.7660511,75.8825684,1.212,0.476
22.6444321,75.9265137,0.069,0.505
22.8065667,75.8825684,-0.044,0.546
22.6849838,75.8166504,1.444,0.51
22.7457888,75.9265137,1.222,0.531
